created_at,request_id,entity_type,entity_id,action,severity,scope,division_id,actor_id,actor_role,reason
Fri Feb 27 2026 20:34:25 GMT+0530 (India Standard Time),2206fe1d-8774-4cc5-a79b-3058ce50b4e8,EMPLOYEE,28f599f4-1a05-465a-b0f3-541555c0b4b3,CREATE,MEDIUM,,,2bd99c2f-fee3-4dcc-b0a8-7e4b9972ed5c,,
Sat Feb 21 2026 09:55:42 GMT+0530 (India Standard Time),cc6a0775-f5b4-41ba-b2ba-2d6737bae868,EMPLOYEE,de2c0d3b-2703-481c-9da9-3ba20f1a1302,CREATE,MEDIUM,,,2bd99c2f-fee3-4dcc-b0a8-7e4b9972ed5c,,
Sat Feb 21 2026 00:43:56 GMT+0530 (India Standard Time),09e0ca86-1c36-4c05-a844-c8fb770d82ed,EMPLOYEE,deb5a316-b6ab-4586-b403-341554fd9225,CREATE,MEDIUM,,,973faf58-1b72-4534-93e8-4c077fcbefdb,,
